Wall time,Step,Value
1565063336.3348265,3671000,21.748414993286133
1565063662.7659907,3701000,22.24859046936035
1565063684.075542,3703000,22.216764450073242
1565063949.371529,3727000,22.53143310546875
1565063992.194948,3731000,22.500070571899414
1565064013.726087,3733000,22.51211166381836
1565064079.451803,3739000,22.553192138671875
1565064110.6202686,3742000,22.60385513305664
1565064131.9234457,3744000,22.547319412231445
1565064227.3007722,3753000,22.538972854614258
1565064301.2039764,3760000,22.601707458496094
1565064445.0088234,3773000,23.062002182006836
1565064528.5288522,3781000,23.083112716674805
1565064664.8958523,3794000,23.089139938354492
1565064685.7425058,3796000,23.088245391845703
1565064717.718061,3799000,23.039812088012695
1565064894.586308,3815000,23.418615341186523
1565064949.6451118,3820000,23.324825286865234
1565064970.4933531,3822000,23.43564224243164
1565065074.749702,3832000,23.406890869140625
1565065118.2842386,3836000,23.40162467956543
1565065434.3382866,3865000,23.782867431640625
1565065487.087015,3870000,23.794679641723633
1565065561.2594187,3877000,23.788198471069336
1565066031.3167162,3921000,24.139278411865234
1565066118.528532,3929000,24.1428165435791
1565066200.3942935,3936000,24.599483489990234
1565066243.9686637,3940000,24.591867446899414
1565066360.4783344,3951000,24.684093475341797
1565066425.1776006,3957000,24.574125289916992
1565066487.7426276,3963000,24.608074188232422
1565066726.3013918,3985000,24.966617584228516
1565066841.1486773,3996000,24.963457107543945
1565066893.5600548,4001000,24.865983963012695
1565066987.9484851,4010000,24.920812606811523
1565066998.7753868,4011000,24.95672035217285
1565067133.5490787,4023000,25.748476028442383
1565067250.8340206,4034000,25.792152404785156
1565067282.4089918,4037000,25.696853637695312
1565067388.1546001,4047000,25.740510940551758
1565067894.514068,4094000,26.312997817993164
1565067955.2300706,4099000,26.86408233642578
1565067966.1053798,4100000,26.792682647705078
1565068070.752995,4110000,26.823715209960938
1565068858.7593086,4183000,27.398418426513672
1565068975.3746161,4194000,27.3869686126709
1565068985.7781644,4195000,27.37738609313965
1565069007.174179,4197000,27.37852668762207
1565069029.084576,4199000,27.379674911499023
1565069061.6417325,4202000,27.40079116821289
1565069072.6264696,4203000,27.42420768737793
1565069346.0928204,4228000,27.74405860900879
1565069398.24069,4233000,27.68828582763672
1565069429.6610034,4236000,27.746780395507812
1565069513.4916236,4244000,27.67531967163086
1565069628.493984,4255000,27.630542755126953
1565069730.9879599,4264000,28.299015045166016
1565069763.8422172,4267000,28.285425186157227
1565069774.9267776,4268000,28.263092041015625
1565069935.0288708,4283000,28.26864242553711
1565070105.5585318,4299000,28.319822311401367
1565070177.584423,4305000,29.01657485961914
1565070219.3235009,4309000,29.041500091552734
1565070313.7283206,4318000,28.936426162719727
1565070334.5829523,4320000,29.02341079711914
1565070429.4317386,4329000,29.03652000427246
1565070471.2225277,4333000,29.02260398864746
1565070587.205739,4344000,28.955289840698242
1565070870.8642614,4370000,29.416746139526367
1565070967.700108,4379000,29.352914810180664
1565071132.194161,4394000,31.064353942871094
1565071205.1749854,4401000,31.052101135253906
1565071268.2699153,4407000,31.054431915283203
1565071309.5339422,4411000,31.017196655273438
1565071319.819799,4412000,31.000133514404297
1565071525.2298462,4431000,31.474098205566406
1565071556.2581146,4434000,31.36149024963379
1565071939.604139,4470000,32.36480712890625
1565072002.1589177,4476000,32.34478759765625
1565072161.4170766,4491000,32.48534393310547
1565072182.2298136,4493000,32.477630615234375
1565072358.3050783,4510000,32.43746566772461
1565072377.1614654,4511000,32.916542053222656
1565072573.812658,4530000,33.659053802490234
1565072584.1942542,4531000,33.390132904052734
1565072615.3382788,4534000,33.57693862915039
1565072708.7514846,4543000,33.54481887817383
1565072831.1001573,4554000,34.21220397949219
1565073099.6191761,4579000,34.15204620361328
1565073130.6309052,4582000,34.15892028808594
1565073245.2292247,4593000,34.088523864746094
1565073284.7114315,4596000,34.95231628417969
1565073305.360916,4598000,34.74013137817383
1565073326.3370454,4600000,34.90803909301758
1565073450.3102174,4612000,34.86423873901367
